paper_title,keywords,journal_name
solder joint failures under thermo-mechanical loading conditions – a review,solder joint creep failure fatigue failure thermal cycling thermal ageing,advances in materials and processing technologies
mechanical behaviour of aluminium alloy aa6063 processed through ecap with optimum die design parameters,spd ecap aluminium microstructure mechanical properties,advances in materials and processing technologies
effect of stirrer design on microstructure of mwcnt and al alloy by stir casting process,metal matrix composite stir casting mwcnt stirrer design sem,advances in materials and processing technologies
exhaled respiratory particles during singing and talking,tiina reponen,aerosol science and technology
"aerosol filtration efficiency of household materials for homemade face masks: influence of material properties, particle size, particle electrical charge, face velocity, and leaks",jing wang,aerosol science and technology
real-time sensing of bioaerosols: review and current perspectives,tiina reponen,aerosol science and technology
evaluation of the alphasense optical particle counter (opc-n2) and the grimm portable aerosol spectrometer (pas-1.108),jian wang,aerosol science and technology
new offsite production and business models in construction: priorities for the future research agenda,modern methods of construction offsite manufacturing people process technology research roadmap,architectural engineering and design management
"bim: innovation in design management, influence and challenges of implementation",bim innovation design management fm integration and collaboration,architectural engineering and design management
constraints to the use of off-site production on construction projects,constraints mitigation off-site production prefabrication value,architectural engineering and design management
material waste in the uae construction industry: main causes and minimization practices,construction material waste sustainability uae waste management waste minimization,architectural engineering and design management
measuring bim performance: five metrics,building information modelling capability and maturity models performance assessment and improvement,architectural engineering and design management
adoption of bim by architectural firms in india: technology–organization–environment perspective,building information modelling architectural firms partial least square technology–organization–environment framework bim adoption,architectural engineering and design management
enhancing collaboration in bim-based construction networks through organisational discontinuity theory: a case study of the new royal adelaide hospital,collaboration building information modelling organisational discontinuity theory virtual teams,architectural engineering and design management
quality assessment of student housing facilities through post-occupancy evaluation,post-occupancy evaluation residential satisfaction student housing quality saudi arabia,architectural engineering and design management
"towards a bim-enabled sustainable building design process: roles, responsibilities, and requirements",design process collaboration sustainability building information modelling building performance analysis concurrent engineering integrated definition methods,architectural engineering and design management
metric-based bim implementation assessment: a review of research and practice,bim assessment bim implementation criteria metrics performance,architectural engineering and design management
developing a green-building design approach by selective use of systems and techniques,building sustainability design optimization green buildings systems and techniques,architectural engineering and design management
the integrated and evidence-based design of healthcare environments,hospital construction performance model needs,architectural engineering and design management
"new needs for better understanding of household's energy consumption – behaviour, lifestyle or practices?",households energy consumption practice theory end-use metering lifestyle behaviour,architectural engineering and design management
managing risks in green building supply chain,green building development risk risk management supply chain,architectural engineering and design management
critical bim qualification criteria for construction pre-qualification and selection,building information modelling construction supply chain project delivery capability and procurement,architectural engineering and design management
communication in construction: a management perspective through case studies in sri lanka,communication project management construction projects project teams case studies,architectural engineering and design management
"tool for benchmarking bim performance of design, engineering and construction firms in the netherlands",benchmarking bim maturity performance tool development,architectural engineering and design management
building design and construction strategies for a circular economy,circular economy (ce) built environment buildings design strategies environmental performance,architectural engineering and design management
the interdependences of bim and supply chain partnering: empirical explorations,building information modelling bim implementation case study supply chain management supply chain partnership,architectural engineering and design management
optimal process integration architectures in off-site construction: theorizing the use of multi-skilled resources,fuzzy–topsis theory modular prefabrication off-site construction precast process optimization planning and control,architectural engineering and design management
building design management – key success factors,building design management (bdm) success factors building design,architectural engineering and design management
an empirical study of information flows in multidisciplinary civil engineering design teams using lean measures,civil engineering design management information flow lean construction,architectural engineering and design management
"contextual, structural and behavioural factors influencing the adoption of industrialised building systems: a review",industrialised building systems building projects construction industry decision-making,architectural engineering and design management
the relationship between the shape of a building and its energy performance,a/s ratio a/v ratio building compactness geometric efficiency energy efficiency,architectural engineering and design management
post-occupancy evaluation of a university student cafeteria,post-occupancy evaluation student cafeteria performance elements,architectural engineering and design management
a social network perspective of building information modelling in greek construction projects,building information modelling (bim) social network analysis (sna) communication networks construction industry greece,architectural engineering and design management
building information modelling (bim) adoption and implementation enablers in aec firms: a systematic literature review,bim implementation change management process and performance management construction innovation information technology,architectural engineering and design management
"target value design in the public sector: evidence from a hospital project in san francisco, ca",target value design target costing public sector cost management design management,architectural engineering and design management
a study of the causes and effects of contractors' non-compliance with the health and safety regulations in the south african construction industry,accidents contractors construction regulations health and safety act non-compliance south africa,architectural engineering and design management
design for manufacture and assembly (dfma) in construction: the old and the new,design for manufacture and assembly construction industrialization prefabrication construction,architectural engineering and design management
a bibliometric review of green building research 2000–2016,green building energy sustainability bibliometrics review,architectural science review
structural developments in tall buildings: current trends and future prospects,aerodynamics building forms damping systems diagrid structures exterior structures interior structures outrigger systems structural performance structural systems tall buildings,architectural science review
buildings don't use energy: people do,building users climate change education professions responsibility,architectural science review
towards an environmental psychology of workspace: how people are affected by environments for work,ambient environmental conditions ergonomics functional comfort furniture health and safety office buildings office layouts productivity satisfaction territoriality user participation workspace,architectural science review
the consequences of living in high-rise buildings,tall buildings research methods residential satisfaction mental health stress crime and security social relations prosocial behavior suicide children,architectural science review
identity and place: a critical comparison of three identity theories,place-identity social identity identity process theory,architectural science review
what is an intelligent building? analysis of recent interpretations from an international perspective,intelligent buildings key performance indicators intelligence sustainable buildings,architectural science review
construction and demolition waste research: a bibliometric analysis,construction and demolition waste built environment waste recycling waste management review bibliometric analysis,architectural science review
a review of planar scissor structural mechanisms: geometric principles and design methods,deployable structures geometric principles of scissor structures planar scissor structural mechanisms,architectural science review
a methodology for the generation of biomimetic design concepts,biomimetics architecture adaptation building envelope design concept generation methodology,architectural science review
thermal comfort requirements for occupants of semi-outdoor and outdoor environments in hot-humid regions,hot-humid regions outdoor environments semi-outdoor environments thermal comfort thermal sensitivity,architectural science review
affective response to architecture – investigating human reaction to spaces with different geometry,architectural space geometry virtual environment space perception cognitive neuroscience diffusion maps affective response emotions,architectural science review
the analysis of masonry architecture: a historical approach,arches architectural heritage architectural history building materials domes elastic analysis finite element method graphical equilibrium analysis history limit analysis masonry architecture masonry structures safety stability statics structural behaviour theory of structures vaults,architectural science review
"investigation of comfort temperature, adaptive model and the window-opening behaviour in japanese houses",adaptive model comfort temperature constraints deadband window opening,architectural science review
thermal comfort in urban open spaces for hong kong,thermal comfort urban open spaces urban planning wind force wind chill,architectural science review
impact of available and perceived control on comfort and health in european offices,adaptive opportunities adjustable thermostats building-related symptoms individual control operable windows personal control,architectural science review
structural design in the work of gaudí,structural design gaudí masonry arches vaults catenarian forms equilibrium methods limit analysis,architectural science review
development of an adaptive thermal comfort model for energy-saving building design in japan,japanese dwellings condominiums field survey comfort temperature adaptive model energy saving,architectural science review
how we evaluate the view out through the window,view outside window evaluation criteria scene quality scene composition view depth view width greenery,architectural science review
mitigating urban heat island effects in high-density cities based on sky view factor and urban morphological understanding: a study of hong kong,high-density city sky view factor urban heat island urban planning,architectural science review
thermal comfort effects of urban design strategies in high-rise urban environments in a sub-tropical climate,environmental design envi-met physiological equivalent temperature thermal comfort urban albedo vegetation,architectural science review
biomimetic design for climate change adaptation and mitigation,adaptation architecture biomimicry climate change ecosystem mitigation regenerative,architectural science review
"brain responses to architecture and planning: a preliminary neuro-assessment of the pedestrian experience in boston, massachusetts",urban design neuroscience traditional neighbourhood design environmental psychology,architectural science review
"building performance assessment—from poe to bpe, a personal perspective",658.53 building performance evaluation post-occupancy evaluation performance concept poe training workshop,architectural science review
the analytic hierarchy process: a new approach to deal with fuzziness in architecture,fuzzy sets decision making hierarcal system complexity in architecture subjectivity,architectural science review
"modelling paths of risks associated with bim implementation in architectural, engineering and construction projects",building information modelling project risk risk path structural equation modelling,architectural science review
heat stress within energy efficient dwellings in australia,heatwave heat stress mitigation housing energy efficiency modelling,architectural science review
revisiting radiant cooling: condensation-free heat rejection using infrared-transparent enclosures of chilled panels,radiant cooling sub dewpoint thermal comfort spectral analysis thermal transparency,architectural science review
simulation of the effect of downtown greenery on thermal comfort in subtropical climate using pet index: a case study in hong kong,envi-met geographical information system physiological equivalent temperature urban greenery,architectural science review
improvements to the globe thermometer for outdoor use,globe thermometer response time,architectural science review
predictors of assistive technology abandonment,assistive technology abandonment consumer satisfaction,assistive technology
maximizing usability: the principles of universal design,universal design principles of universal design design guidelines evaluation criteria assistive technology,assistive technology
development of the quebec user evaluation of satisfaction with assistive technology (quest),user satisfaction assistive devices outcomes measures follow-up,assistive technology
overview and categorization of robots supporting independent living of elderly people: what activities do they support and how far have they developed,robots elderly independent living,assistive technology
acceptance and attitudes toward a human-like socially assistive robot by older adults,cognitive and social interventions older adults robot acceptance socially assistive robots,assistive technology
"supporting the communication, language, and literacy development of children with complex communication needs: state of the science and future research priorities",aac augmentative and alternative communication autism spectrum disorders cerebral palsy children communication down syndrome language literacy multiple disabilities,assistive technology
service innovation through social robot engagement to improve dementia care quality,dementia care older people service delivery service innovation social engagement social robot,assistive technology
item analysis of the quebec user evaluation of satisfaction with assistive technology (quest),assistive technology item analysis user satisfaction instrument development reliability validity,assistive technology
"building robota, a mini-humanoid robot for the rehabilitation of children with autism",toy robot children autism imitation rehabilitation educational doll robot,assistive technology
difficulties in automatic speech recognition of dysarthric speakers and implications for speech-based applications used by the elderly: a literature review,automatic speech recognition dysarthria older adult personal emergency response speech-to-text,assistive technology
evaluation of a companion robot based on field tests with single older adults in their homes,communication older adults robotics,assistive technology
demographics and trends in wheeled mobility equipment use and accessibility in the community,accessibility features demographics durable medical equipment scooters trends unmet need wheelchairs,assistive technology
a review of eeg-based brain-computer interfaces as access pathways for individuals with severe disabilities,brain computer interface review access pathways electroencephalography (eeg),assistive technology
the acceptability of home monitoring technology among community-dwelling older adults and baby boomers,technology home monitoring aging in place older adults baby boomers,assistive technology
middle school special education teachers’ perceptions and use of assistive technology in literacy instruction,assistive technology barriers education teaching,assistive technology
exploring the use of smartphones and tablets among people with visual impairments: are mainstream devices replacing the use of traditional visual aids?,computer access information technology and telecommunications universal design usability visual impairment,assistive technology
eye gaze performance for children with severe physical impairments using gaze-based assistive technology—a longitudinal study,assistive devices computer access physical disability,assistive technology
the positive effects of early powered mobility on children's psychosocial and play skills,pediatric powered mobility social skills mobility play activities object interactions,assistive technology
disparities in usage of assistive technology among people with disabilities,assistive technology disability disparities independent living participatory action research,assistive technology
"a review of preservice training in augmentative and alternative communication for speech-language pathologists, special education teachers, and occupational therapists",augmentative communication occupational therapy preservice training professional preparation special education speech-language pathology,assistive technology
satisfaction with assistive technology device in relation to the service delivery process—a systematic review,assistive devices participation prescription self-help devices,assistive technology
acceptance and perceived usefulness of robots to assist with activities of daily living and healthcare tasks,activities of daily living older adults robotics,assistive technology
reliability of bench tests of interface pressure,cushions interface pressure pressure ulcer wheelchair seating,assistive technology
metabolic and endocrine changes in persons aging with spinal cord injury,diabetes mellitus muscle fat cardiopulmonary fitness testosterone growth hormone,assistive technology
trends and issues in wheelchair technologies,manual wheelchair power wheelchair bariatric wheelchair pushrim-activated power-assist wheelchairs (papaw) independence 3000 ibot transporter wheelchair usage wheelchair transportation wheelchair marketplace emerging trends,assistive technology
examining the usability of a virtual reality driving simulator,virtual reality driving cognition user feedback usability human factors,assistive technology
systematic review: investigating the effectiveness of assistive technology to enable internet access for individuals with deafblindness,auditory impairment computer access visual impairment,assistive technology
clinical use of interface pressure to predict pressure ulcer development: a systematic review,interface pressure pressure ulcers systematic review,assistive technology
user evaluation of two electronic mobility aids for persons who are visually impaired: a quasi-experimental study using a standardized mobility course,assistive technology electronic mobility aids obstacle detection and orientation user evaluation visual impairment,assistive technology
impact of mass and weight distribution on manual wheelchair propulsion torque,manual wheelchair propulsion torque inertia energy loss,assistive technology
emerging learning environments in engineering education,complexity sustainability industry 4.0 employability project-based learning curriculum design,australasian journal of engineering education
evaluation of algorithms to predict graduation rate in higher education institutions by applying educational data mining,data mining data warehouse educational data mining academic development,australasian journal of engineering education
engineering education for sustainable development: using online learning to support the new paradigms,engineering education for sustainable development (eesd) interdisciplinarity teaching and learning sustainability online moocs higher education for sustainability in the united kingdom,australasian journal of engineering education
exploring student disability and professional identity: navigating sociocultural expectations in u.s. undergraduate civil engineering programs,disability grounded theory identity civil engineering,australasian journal of engineering education
humanitarian engineering education fieldwork and the risk of doing more harm than good,service-learning voluntourism experiential learning,australasian journal of engineering education
threshold concepts in undergraduate engineering: exploring engineering roles and value of learning,threshold concepts identity motivation engineering education curriculum development,australasian journal of engineering education
learning and teaching style assessment for improving project-based learning of engineering students: a case of united arab emirates university,learning styles teaching styles project-based learning engineering students,australasian journal of engineering education
project-based learning of systems engineering v model with the support of 3d printing,systems engineering 3d printing project-based learning v development lifecycle,australasian journal of engineering education
enhancing students' engagement in learning through a formative e-assessment tool that motivates students to take action on feedback,feedback e-assessment engagement formative performance,australasian journal of engineering education
a review of progress and opportunities to foster development of sustainability-related competencies in engineering education,sustainability competencies united nations sustainable development goals competencies knowledge and skills accreditation rapid curriculum renewal,australasian journal of engineering education
using engineering activities to engage middle school students in physics and biology,stem engineering education physics and biology education middle school education draw-a-scientist test,australasian journal of engineering education
authentic process safety decisions in an engineering ethics context: expression of student moral development within surveys and immersive environments,educational software ethics chemical engineering,australasian journal of engineering education
empathy and ethical becoming in biomedical engineering education: a mixed methods study of an animal tissue harvesting laboratory,engineering ethics empathy biomedical engineering mixed methods,australasian journal of engineering education
perceptions of the relative importance of student interactions for the attainment of engineering laboratory-learning outcomes,student interactions engineering laboratories face-to-face laboratory laboratory-learning outcomes,australasian journal of engineering education
student resistance to active learning: do instructors (mostly) get it wrong?,active learning higher education instructional change adoption,australasian journal of engineering education
civil engineering students’ response to visualisation learning experience with building information model,civil engineering education bim visualisation learning,australasian journal of engineering education
employer and academic staff perceptions of science and engineering graduate competencies,science and engineering graduate competencies employer perceptions academic staff perceptions graduate performance employability mixed-methods,australasian journal of engineering education
tutorial video use by senior undergraduate electrical engineering students,e-learning tutorial problems student use of videos,australasian journal of engineering education
student learning behaviours around assessments,assessment for learning student approaches to learning self-evaluation learning-oriented assessment,australasian journal of engineering education
resource usage and usefulness: academic help-seeking behaviours of undergraduate engineering students,help-seeking behaviour higher education study habits engineering education,australasian journal of engineering education
developing 3d spatial skills for engineering students,3d spatial visualization gender differences student success,australasian journal of engineering education
triz thinking heuristics to nurture future generations of creative engineers,engineering creativity triz heuristic creative problem-solving engineering education self-efficacy,australasian journal of engineering education
flipped learning – a case study of enhanced student success,flipped learning blended learning workshops,australasian journal of engineering education
pilot exploration of gender inclusivity of engineering students’ exposure to engineering practice in an australian university,gender engineering education work integrated learning curriculum development possible selves theory,australasian journal of engineering education
"faculty perception before, during and after implementation of standards-based grading",standards-based grading (sbg) faculty perceptions proficiency scale,australasian journal of engineering education
using online and multimedia resources to enhance the student learning experience in a telecommunications laboratory within an australian university,telecommunications video instructions modular communications system e-learning,australasian journal of engineering education
