publication_title,title_id,Aim
australian journal of electrical and electronics engineering,tele20,"it is the policy of the australian journal of electrical and electronics engineering (ajeee) to publish a variety of contributions to the science and practice of electrical engineering. major fields of interest include electronics and communications, electric energy, instrumentation and control, automation, computing, it, computer science, and cybernetics.
the ajeee aims to publish reviewed technical papers in these major fields of interest, as well as in allied fields. papers should be related to the relevant fields and will usually fall into one of the following categories:
research paper - a paper making an original contribution to engineering knowledge.
special interest paper – a report on significant aspects of a major or notable project.
review paper for specialists – an overview of a relevant area intended for specialists in the field covered.
review paper for non-specialists – an overview of a relevant area suitable for a reader with an electrical/electronics background.
tutorial paper – a paper that explains an important subject or clarifies the approach to an area of design or investigation.
technical note – a technical note or letter to the editors that is not sufficiently developed or extensive in scope to constitute a full paper.
discussion – a contribution to discuss a published paper to which the original author's response will be sought.
from time to time, invitations are presented to particular authors to write papers for the ajeee. this most usually occurs when it is decided to collect a number of papers relating to one subject for a given issue, often with a guest editor.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
australian journal of mechanical engineering,tmec20,"the australian journal of mechanical engineering is the peer-reviewed technical journal of mechanical college of engineers australia. the journal aspires to be one of the top-ranking premier source of research and innovation in the science and practice of mechanical and mechatronic engineering in australasia and around the world, and seeks to disseminate high impact publications that will advance the practice of engineering.
the editorial team aims to publish high quality and highly applied research and innovation that has the potential to be widely disseminated, taking into consideration the potential economic and social impacts that it could generate. of note, the journal is keen to disseminate highly disruptive discoveries and technologies, and new and emerging sub-disciplines of mechanical engineering.
the scope of the journal is segmented into the following industries, but not limited to:
automotive, freight and transport
aerospace and aeronautical
agriculture technologies and machines
biomedical devices and assistive technologies
construction, building and infrastructure services
marine structures and machines
mining and mineral processing
oil and gas technologies and processing
railway technologies and machines
traditional and renewable energy
consumer products and services
  within the relevant industry sector, the journal is seeking original and innovative work from sub-disciplines such as, but not limited to:
acoustics and vibration
dynamics and mechanics
thermo-fluids and heat transfer
engines, energy and combustion
mechanical failures, fracture and fatigue
manufacturing and industrial processes
manual and bulk handling
mechanical and machine design and controls
applied robotics and mechatronics
biomechanical design and technology
pipes, pumps and hydraulics
materials science and technology
nano, smart and bio-materials
refrigeration and air-conditioning
condition and performance monitoring
  authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
australian journal of multi-disciplinary engineering,tmul20,"the australian journal of multi-disciplinary engineering aims to provide a publishing channel for refereed papers describing applied, research and professional practice of engineering in which multiple scientific, technological and engineering concepts, principles and experience are involved within a context of human safety, efficiency and sustainability.

scope of topics:
safety and risk management in engineering projects
efficiency and effectiveness of design, construction, operation, sustainment and decommissioning in engineering projects
human – systems integration and optimisation, automation
engineering leadership and management
systems engineering theory and practice
engineering business models

peer review policy 
all published papers in this journal have undergone rigorous review by at least two referees and are also peer-reviewed before submission.

disclaimer
engineers australia and taylor and francis make every effort to ensure the accuracy of all the information (the “content”) contained in its publications. however, the society and taylor and francis and its agents and licensors make no representations or warranties whatsoever as to the accuracy, completeness or suitability for any purpose of the content and disclaim all such representations and warranties whether express or implied to the maximum extent permitted by law. any views expressed in this publication are the views of the authors and are not necessarily the views of the editor, the society or taylor and francis.
  authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
australian journal of structural engineering,tsen20,"the  australian journal of structural engineering (ajse) is published under the auspices of the structural college board of engineers australia. it fulfils part of the board's mission for continuing professional development. the journal also offers a means for exchange and interaction of scientific and professional issues and technical developments. the journal is open to members and non-members of engineers australia.
original papers on research and development (technical papers) and professional matters and achievements (professional papers) in all areas relevant to the science, art and practice of structural engineering are considered for possible publication. all papers and technical notes are peer-reviewed. the fundamental criterion for acceptance for publication is the intellectual and professional value of the contribution.
occasionally, papers previously published in essentially the same form elsewhere may be considered for publication. in this case acknowledgement to prior publication must be included in a footnote on page one of the manuscript. these papers are peer-reviewed as new submissions.
the length of acceptable contributions typically should not exceed 4,000 to 5,000 word equivalents. longer manuscripts may be considered at the discretion of the editor. technical notes typically should not exceed about 1,000 word equivalents.
discussions on a paper or note published in the ajse are welcomed. discussions must address significant matters related to the content of a paper or technical note and may include supplementary and critical comments and questions regarding content.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
australian surveyor,tjss18,home all journals australian surveyor aims and scope
behaviour and information technology,tbit20,"behaviour and information technology (bit) puts people before technology. as such it deviates from other related journals. it is the primary scientific venue for peer-reviewed publications on human-centred it.
bit reports original research studies, practical case studies, and thoughtful articles on:
•      usability and user experience (ux)
•      human computer interaction (hci)
•      human-centred and user-centred design
•      the social, business and human aspects of the digital world.
the journal attracts authors and readers from a variety of disciplines (e.g., usability, user experience, psychology, ergonomics, computer science, and sociology), originating from both academics and industry.
all papers are subject to initial appraisal by the editor, and, if found suitable for further consideration, will undertake rigorous double blind peer review by independent, anonymous expert referees.
taylor and francis make every effort to ensure the accuracy of all the information (the “content”) contained in our publications. however, taylor and francis, our agents, and our licensors make no representations or warranties whatsoever as to the accuracy, completeness, or suitability for any purpose of the content. any opinions and views expressed in this publication are the opinions and views of the authors, and are not the views of or endorsed by taylor and francis. the accuracy of the content should not be relied upon and should be independently verified with primary sources of information. taylor and francis shall not be liable for any losses, actions, claims, proceedings, demands, costs, expenses, damages, and other liabilities whatsoever or howsoever caused arising directly or indirectly in connection with, in relation to or arising out of the use of the content. terms and conditions of access and use can be found at http://www.tandfonline.com/page/terms-and-conditions
readership
  human-computer interaction researchers, software and system designers, cognitive ergonomists, psychologists.

all published research articles in this journal have undergone rigorous peer review, based on initial editor screening and anonymous refereeing by independent expert referees.

authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
biofuels,tbfu20,"current energy systems need a vast transformation to meet the key demands of the 21st century: reduced environmental impact, economic viability and efficiency. an essential part of this energy revolution is bioenergy.
the movement towards widespread implementation of first generation biofuels is still in its infancy, requiring continued evaluation and improvement to be fully realised. problems with current bioenergy strategies, for example competition over land use for food crops, do not yet have satisfactory solutions. the second generation of biofuels, based around cellulosic ethanol, are now in development and are opening up new possibilities for future energy generation. recent advances in genetics have pioneered research into designer fuels and sources such as algae have been revealed as untapped bioenergy resources.
as global energy requirements change and grow, it is crucial that all aspects of the bioenergy production process are streamlined and improved, from the design of more efficient biorefineries to research into biohydrogen as an energy carrier. current energy infrastructures need to be adapted and changed to fulfil the promises of biomass for power generation.
biofuels provides a forum for all stakeholders in the bioenergy sector, featuring review articles, original research, commentaries, news, research and development spotlights, interviews with key opinion leaders and much more, with a view to establishing an international community of bioenergy communication.
as biofuel research continues at an unprecedented rate, the development of new feedstocks and improvements in bioenergy production processes provide the key to the transformation of biomass into a global energy resource. with the twin threats of climate change and depleted fossil fuel reserves looming, it is vitally important that research communities are mobilized to fully realize the potential of bioenergy. biofuels accepts the following types of article: original articles.
articles published in biofuels cover key areas in the development of bioenergy, such as:
• sustainable production of annual, perennial and wood feedstocks from agriculture
• creation of new biomass feedstocks in laboratories
• biochemical conversion techniques
• fermentation, anaerobic digestion and enzyme development
• thermochemical conversion techniques
• biocatalyst development, gasification and pyrolysis plants
• bioenergy systems and plant engineering
• conversion of biomass into heat, electricity and biohydrogen
• storage and transportation of biomass during manufacture
• implementation, improved efficiency and reduced environmental impact of first generation biofuels, including ethanol and biodiesel
• new bioenergy sources: algae, genetically engineered fuels, and biochemical carbon dioxide conversion
• policy, management and communication to establish a global bioenergy market
please note that this journal only publishes manuscripts in english.
peer review policy
taylor and francis is committed to peer-review integrity and upholding the highest standards of review. once your paper has been assessed for suitability by the editor, it will then be double blind peer-reviewed by independent, anonymous expert referees. find out more about what to expect during peer review and read our guidance on publishing ethics.


authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
brain-computer interfaces,tbci20,"brain-computer interfaces ( bci) publishes high quality, original research articles encompassing analysis of theoretical and practical advances in brain-computer interface (bci) technology. articles should expand upon novel and innovative research where the methods, analysis and conclusions are robust and of the highest standard.
a bci measures brain activity and translates it into a form that can allow machines to compensate for lost or damaged brain functions, provide supplementary or augmented functions, or entrain lasting improvements in existing functions. the journal recognizes that the field of bci research is highly multi-disciplinary, and strives to integrate a range of perspectives from various disciplines in order to deepen understanding of the issues, challenges and solutions in the field. brain-computer interfaces will be of interest to experts within the following fields:
biomedical engineering
computer science and engineering
electrical engineering
human factors
industrial and systems engineering
machine learning
mechanical engineering
neuroscience
neurosurgery
psychology
rehabilitation engineering
  brain-computer interfaces covers, but is not limited to, the following areas:
development and user-centered evaluation of engineered bci applications with emphasis on the analysis of what aspects are crucial to making the system work, in addition to straightforward assessment of its success. 
scientific investigation of patterns of brain activity that can, or show promise to be able to, be used to drive bci applications.
development and evaluation of signal processing methods that extract signal features, classify them, and otherwise translate brain signals into device commands.
new invasive and noninvasive methods to monitor and acquire brain signals.
applications of bci technology to understand human perception, affect, action, and various aspects of cognition and behavior.
ethical and sociological implications of bci applications.
human factors and human-computer interaction (hci) concerns in the design, development and evaluation of bcis.
clinical trials and individual case studies of the experimental therapeutic application of bcis.
behavioral studies of bci use in humans and animals.
studies of neurosurgical techniques relevant to bcis.
proposal, review and analysis of standards for bci hardware, software and protocols.
all manuscript submissions are subject to initial appraisal by the co-editors, and, if found suitable for further consideration, will enter rigorous peer review by independent, anonymous expert referees. the journal operates single blind peer review and submissions are to be made online via  editorial manager
 all published articles will be made available on pubmed central and indexed in pubmed at the time of publication. 
authors can  choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
british corrosion journal,ycst19,home all journals british corrosion journal aims and scope
cim journal,ucim20,"cim journal is a quarterly digital publication for peer-reviewed technical papers available to all cim national members. papers cover all facets of the mining and minerals industry, including geology, mining, processing, maintenance, environmental protection and reclamation, mineral economics, project management, health and safety, risk management, research and development, operations, and regulatory practices and issues.

cim journal is the mining industry's technical publication of choice. original papers in english and french are welcome. our audience and authors are international in scope.

all submitted manuscripts are subject to initial evaluation by the editor from the relevant society and, if found suitable for further consideration, to double-blind peer review by independent, anonymous expert reviewers. submissions are made online via scholarone manuscripts.


publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
cartography,tjss19,home all journals cartography aims and scope
catalysis reviews,lctr20,"with an emphasis on interdisciplinary content, catalysis reviews stimulates new and progressive views on the fields of catalytic science and engineering for an international audience of industrial and academic research communities. this journal bridges the gaps between the fields of heterogeneous, homogenous, and bio-catalysis and offers a necessary and critical assessment of the current state of catalytic science and engineering.

topics this journal publishes include: advances in technology and theory, engineering and chemical aspects of catalytic reactions, reactor design, computer models, analytical tools, and statistical evaluations. 

peer review policy
all submitted manuscripts are subject to initial appraisal by the editors, and if found suitable for further consideration, will be peer-reviewed by independent and anonymous expert referees. all peer review is single blind, please see the instructions for authors for further details on manuscript submission.

publishing ethics statement
the journal adheres to the highest standards of publishing ethics, with rigorous processes in place to ensure this is achieved. taylor and francis is a member of committee of publication ethics (cope) and utilizes similarity check via crossref for all journals. more information on our ethical standards and policies can be found here: http://authorservices.taylorandfrancis.com/ethics-for-authors/.
the journal has an appeals and complaints policy which can be viewed here:  https://authorservices.taylorandfrancis.com/peer-review-appeals-and-complaints-from-authors/.

publication office: taylor and francis group, 530 walnut street, suite 850, philadelphia, pa 19106
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
chemical engineering communications,gcec20,"chemical engineering communications provides a forum for the publication of manuscripts reporting on results of both basic and applied research in all areas of chemical engineering. the journal's audience includes researchers and practitioners in academia, industry, and government.
chemical engineering communications publishes full-length research articles dealing with completed research projects on subjects such as experimentation (both techniques and data) and new theoretical models. critical review papers reporting on the current state of the art in topical areas of chemical engineering are also welcome; submission of these is strongly encouraged.
cec is also a medium for the publication of special issues consisting of groups of articles on a particular theme or honoring a particularly outstanding person.
the scope of the journal reflects the expanding role of chemical engineering in a variety of areas. research areas include, but are not limited to:
reactors and reaction engineering
catalysis
kinetics
separation processes
thermodynamics
process control
bioengineering
fluid mechanics
transport phenomena
crystallization
electrochemical processes
materials engineering
waste treatment
fluidization
polymer engineering
nanotechnology
semiconductor processing
applied mathematics
all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. all peer review is single blind and submission is online via scholarone manuscripts. 

publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
civil engineering systems,gcee19,home all journals civil engineering systems aims and scope
civil engineering and environmental systems,gcee20,"civil engineering and environmental systems is devoted to the advancement of systems thinking and systems techniques throughout systems engineering, environmental engineering decision-making, and engineering management. we do this by publishing the practical applications and developments of ""hard"" and ""soft"" systems techniques and thinking.
submissions that allow for better analysis of civil engineering and environmental systems might look at:
civil engineering optimization
risk assessment in engineering
civil engineering decision analysis
system identification in engineering
civil engineering numerical simulation
uncertainty modelling in engineering
qualitative modelling of complex engineering systems


submissions on systems thinking that advance our understanding of complex civil engineering and environmental systems might examine.
safety in engineering systems
decision making with engineering systes
risk management in engineering systems
civil engineering environmental policy
sustainable development in civil engineering


once your paper has been assessed for suitability by the editor, it will then be double blind peer-reviewed by independent, anonymous expert referees. you can find out more information on our instructions for authors site.
author benefits
we are abstracted and indexed in scopus, science citation index expanded and more.
the prestigious and experienced members of our international editorial board will guide you from submission to publication.
our author services page provides you with tips and tricks to promote your research on social media and through your network. this includes 50 free e-prints to share with anyone you wish.
quickly and easily track the impact your paper makes with the help of authored works.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
